BR;;.BRAZIL;;;;;;;;
BR;ABI;Americo Brasiliense;Americo Brasiliense;SP;--3-----;RQ;0607;;2142S 04806W;
BR;ACP;Americo de Campos;Americo de Campos;SP;--3-----;RQ;0607;;2018S 04943W;
BR;AMP;Amparo;Amparo;SP;--3-----;RQ;0607;;2242S 04646W;
BR;ANI;Analandia;Analandia;SP;--3-----;RQ;0607;;2207S 04739W;
BR;ANA;Ananindeua;Ananindeua;PA;--3-----;RQ;9806;;;
BR;APS;Anápolis;Anapolis;GO;---4----;AI;0212;;1620S 04858W;
BR;ATC;Anastacio;Anastacio;MS;--3-----;RQ;0607;;2030S 05548W;
BR;AHI;Anchieta;Anchieta;ES;--3-----;RL;0607;;2048S 04038W;
BR;ARI;Andarai;Andarai;BA;--3-----;RQ;0607;;1248S 04119W;
BR;AIA;Andira;Andira;PR;--3-----;RQ;0607;;2302S 05013W;
BR;ARD;Andradas;Andradas;MG;--3-----;RQ;0607;;2204S 04634W;
BR;AAN;Andradina;Andradina;SP;--3-----;RQ;0607;;2254S 05122W;
BR;AGT;Angatuba;Angatuba;SP;--3-----;RQ;0607;;2329S 04824W;
BR;AIC;Angelica;Angelica;MS;--3-----;RQ;0607;;2205S 05343W;
BR;ADR;Angra dos Reis;Angra dos Reis;RJ;1-------;AI;9401;;;
BR;ANC;Anicuns;Anicuns;GO;--3-----;RQ;0607;;1627S 04957W;
BR;ANT;Antonina;Antonina;PR;1-------;AI;9401;;;
BR;ACS;Antonio Carlos;Antonio Carlos;SC;--3-----;RQ;0607;;2728S 04851W;
BR;AJO;Antonio Joao;Antonio Joao;MS;--3-----;RQ;0607;;2211S 05556W;
BR;MAY;Antonio Prado;Antonio Prado;RS;--3-----;RQ;0607;;2851S 05117W;
BR;API;Aparecida;Aparecida;SP;--3-----;RQ;0607;;2249S 04514W;
BR;AGI;Aparecida de Goiania;Aparecida de Goiania;GO;--3-----;RQ;0607;;1649S 04914W;
BR;ATD;Aparecida do Taboado;Aparecida do Taboado;MS;--3-----;RQ;0607;;2005S 05105W;
BR;APA;Apiai;Apiai;SP;--3-----;RQ;0607;;2430S 04850W;
BR;AUA;Apiuna;Apiuna;SC;--3-----;RQ;0607;;2702S 04925W;
BR;APU;Apucarana;Apucarana;PR;---4----;AI;9601;;;
BR;AQD;Aquidauana;Aquidauana;MS;--3-----;RQ;0607;;2085S 05547W;
BR;AQR;Aquiraz;Aquiraz;CE;--3-----;RQ;0607;;0353S 02822W;
BR;AJU;Aracaju;Aracaju;SE;1--4----;AI;9601;;;
BR;ARM;Araçariguama;Aracariguama;SP;--3-----;RL;0601;;2326S 04704W;
