JE;;.JERSEY;;;;;;;;
JE;STH;St Helier;St Helier;;1-3-----;AF;0607;;4911N 00206W;ex GB STH
JE;JER;States Apt; Jersey;States Apt; Jersey;;---4----;AF;0607;;4912N 00211W;ex GB JER
JE;TTY;Trinity;Trinity;;--3-----;RL;0607;;4914N 00205W;ex GB TTY
