AG;;.ANTIGUA AND BARBUDA;;;;;;;;
AG;ANU;Antigua;Antigua;;1---5---;AI;9601;;;
AG;BBQ;Barbuda;Barbuda;;1-------;AI;9601;;;
AG;SJO;St John's;St John's;;1-------;AI;9612;;;
