CR;;.COSTA RICA;;;;;;;;
CR;XQP;Quepos (Puerto Quepos);Quepos (Puerto Quepos);;1--4----;AI;9601;;;
CR;RCD;Río Cuarto;Rio Cuarto;A;1-3--6--;RL;0401;;1021N 08414W;
CR;RIO;Río Frío;Rio Frio;P;1-3--6--;RL;0401;;0947N 08511W;
CR;SLN;Salinas;Salinas;P;--3--6--;RL;0501;;0956N 08441W;
CR;SAM;Sámara;Samara;G;1-3--6--;RL;0401;;0953N 08532W;
CR;SCS;San Carlos;San Carlos;SJ;--3-----;RL;0501;;0914N 08335W;
CR;SAN;San Ignacio de Acosta;San Ignacio de Acosta;SJ;1-3--6--;RL;0401;;0948N 08410W;
CR;SIS;San Isidro;San Isidro;SJ;--3-----;RL;0507;;0922N 08342W;
CR;SJO;San José;San Jose;SJ;12345---;AI;0407;;0956N 08405W;
CR;SPT;San Pablo de Turrubares;San Pablo de Turrubares;SJ;--3-----;RL;0701;;0955N 08426W;
CR;SSP;San Pedro de Poas;San Pedro de Poas;A;1-3--6--;RL;0401;;1005N 08415W;
CR;SRG;San Rafael Guatuso;San Rafael Guatuso;A;1----6--;RQ;0607;;1040N 08449W;
CR;SOR;San Ramon;San Ramon;;--3-----;RL;0001;;;
CR;ANA;Santa Ana;Santa Ana;SJ;--3-----;RL;0501;;0956N 08411W;
CR;SPI;Sarapiquí;Sarapiqui;H;1-3--6--;RL;0401;;1029N 08401W;
CR;SRI;Sarchí;Sarchi;A;1-3--6--;RL;0307;;1005N 08421W;
CR;SQR;Siquirres;Siquirres;L;-23-----;RL;0407;;1006N 08331W;
CR;TRE;Tres Ríos;Tres Rios;C;1-3--6--;RL;0307;;0954N 08511W;
CR;TUR;Turrialba;Turrialba;C;--3-----;RL;0401;;0954N 08341W;
CR;UJA;Ujarrás;Ujarras;A;--3-----;RL;0401;;1017N 08412W;
CR;URS;Ujarrás ;Ujarras ;C;--3-----;RL;0701;;0950N 08350W;
CR;UPA;Upala;Upala;A;--3-----;RQ;0607;;1053N 08500W;
