GW;;.GUINEA-BISSAU;;;;;;;;
GW;OXB;Bissau;Bissau;BS;1-345---;AI;0401;;1151N 01535W;
GW;BOL;Bolama;Bolama;;1-3-----;RL;0401;;1135N 01528W;
GW;BQE;Bubaque;Bubaque;;1-34----;AI;0401;;1117N 01550W;
GW;CAC;Cacheu;Cacheu;CA;1-3-----;RL;0401;;1216N 01609W;
