ID;;.INDONESIA;;;;;;;;
ID;ADB;Adang Bay;Adang Bay;;1-------;RQ;8103;;;
ID;ARD;Alor Island;Alor Island;;---4----;AI;0001;;;
ID;AHI;Amahai;Amahai;;---4----;AI;9601;;;
ID;AMA;Amamapare; Ij;Amamapare; Ij;;1-------;RQ;9506;;;
ID;AMQ;Ambon; Molucas;Ambon; Molucas;;1-------;QQ;8103;;;
ID;AMP;Ampenan; Bali;Ampenan; Bali;;1-------;QQ;8103;;;
ID;ANR;Anyer Kidul;Anyer Kidul;;123-----;RL;0212;;0604S 10553E;
ID;API;Api Api;Api Api;;0-------;RQ;9506;;;
ID;AJN;Arjuna; Java;Arjuna; Java;;1-------;QQ;8103;;;
ID;ARB;Aroe Bay;Aroe Bay;;1-------;RQ;8103;;;
ID;AUN;Arun;Arun;;1-------;RQ;9506;;;
ID;ABU;Atambua;Atambua;;--3-----;RQ;9501;;;
ID;BXD;Bade;Bade;;---4----;AI;9601;;;
ID;BJW;Bajawa;Bajawa;;---4----;AI;0001;;;
ID;BPN;Balikpapan; Kalimantan;Balikpapan; Kalimantan;;1--4----;AI;9601;;;
ID;BAL;Balongan Terminal;Balongan Terminal;;1-------;RQ;9506;;;
ID;NAF;Banaina;Banaina;;---4----;AI;0001;;;
ID;BTJ;Banda Aceh;Banda Aceh;;---4----;AI;9601;;;
ID;NDA;Bandanaira;Bandanaira;;--3-----;RL;9805;;;
ID;TKG;Bandar Lampung;Bandar Lampung;;---4----;AI;0001;;;
ID;BDO;Bandung; Java;Bandung; Java;;---45---;AI;9601;;;
ID;BGG;Banggai;Banggai;;1-------;QQ;8103;;;
ID;BDJ;Banjarmasin;Banjarmasin;;1--4----;AI;9601;;;
ID;BJU;Banjuwangi; Java;Banjuwangi; Java;;1-------;QQ;8103;;;
ID;BTN;Banten;Banten;;1-------;RL;9811;;;
ID;BTH;Batam (ex Batu Besar);Batam (ex Batu Besar);;---4----;AI;0001;;;
ID;BTM;Batam Island;Batam Island;;--3-----;RQ;9501;;;
ID;BUR;Batu Ampal;Batu Ampal;;1-3-----;RL;9805;;;Batu Ampar?
ID;BAK;Batu Kilat;Batu Kilat;;1-------;RQ;8103;;;
ID;BTW;Batulicin;Batulicin;;1-34----;AI;0212;;0327S 11559E;
